"Id","Var1","Freq_x","Freq_y","Freq"
"1","10",205,93,26
"2","11",163,91,36
"3","12",288,133,47
"4","13",451,183,61
"5","14",200,62,30
"6","15",256,132,32
"7","16",336,151,41
"8","17",256,115,32
"9","18",205,83,33
"10","19",154,44,16
"11","2",74,60,17
"12","20",242,115,22
"13","21",216,83,21
"14","22",241,117,34
"15","23",234,118,32
"16","24",210,103,28
"17","25",198,131,32
"18","26",224,116,25
"19","27",166,85,14
"20","28",61,33,16
"21","29",244,147,27
"22","3",230,144,53
"23","30",279,151,36
"24","31",253,125,31
"25","32",273,151,32
"26","33",244,128,46
"27","34",227,99,30
"28","35",200,128,43
"29","36",107,105,31
"30","4",92,44,18
"31","5",261,144,46
"32","6",130,55,14
"33","7",160,87,30
"34","8",387,175,53
"35","9",112,44,15
