"Var1","High_propensity","Middle_propensity","Low_propensity"
"10",205,93,26
"11",163,91,36
"12",288,133,47
"13",451,183,61
"14",200,62,30
"15",256,132,32
"16",336,151,41
"17",256,115,32
"18",205,83,33
"19",154,44,16
"2",74,60,17
"20",242,115,22
"21",216,83,21
"22",241,117,34
"23",234,118,32
"24",210,103,28
"25",198,131,32
"26",224,116,25
"27",166,85,14
"28",61,33,16
"29",244,147,27
"3",230,144,53
"30",279,151,36
"31",253,125,31
"32",273,151,32
"33",244,128,46
"34",227,99,30
"35",200,128,43
"36",107,105,31
"4",92,44,18
"5",261,144,46
"6",130,55,14
"7",160,87,30
"8",387,175,53
"9",112,44,15
